sample_id,annotation_priority,suggested_difficulty_label,difficulty_hint_zh,required_evidence_ids,evidence_context,evidence_context_zh,qa,qa_zh,num_required_sentences,suggested_answer_directly_found,blind_sufficient,blind_reason,human_valid,human_difficulty_label,human_answer_directly_found,human_evidence_ids,human_notes,story_name,source_index,attribute,fairytale_scope,fairytale_explicitness,full_context_numbered,removal_summary,selector_difficulty,selector_evidence_ids,selector_answer_directly_found,selector_reason
EV021,repair,Easy,Easy：答案可以直接在文本中找到，并且只需要一个必要证据句。,[6],"[S6] we need no longer rely on hunting alone , for as long as this gift is cherished and taken care of , the ground itself will give us a living .",[S6] 我们不再需要仅仅依靠打猎为生，只要珍惜并妥善照料这份礼物，大地本身就会给我们提供生计。,"Q: why did the indians no longer need to rely on hunting alone ?
A: they had indian corn .","Q: 为什么印第安人不再需要仅仅依靠打猎为生？
A: 他们有了印第安玉米。",1,no,no,S6 does not mention Indian corn or any specific reason for no longer relying on hunting alone.,,,,,,wunzh-the-father-of-indian-corn,457,causal relationship,local,implicit,"[S0] the little fasting - lodge had been removed , and the weeds kept from growing on the circle where it had stood .
[S1] in its place rose a tall and graceful plant , surmounted with nodding plumes and stately leaves , and golden clusters .
[S2] there was in its aspect and bearing the deep green of the summer grass , the clear amber of the summer sky , and the gentle blowing of the summer wind .
[S3] "" it is my friend !
[S4] "" shouted wunzh , "" it is the friend of all mankind .
[S5] it is mondawmin : it is our indian corn !
[S6] we need no longer rely on hunting alone , for as long as this gift is cherished and taken care of , the ground itself will give us a living .
[S7] "" he then pulled an ear .",,Easy,[6],yes,S6 directly states that the gift (Indian corn) allows them to no longer rely on hunting alone.
EV022,repair,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,[20],"[S20] "" and i thank you most kindly for it , "" said the youth .","[S20] ""我非常感谢你，"" 年轻人说道。","Q: how did the youth feel when he saw the pup ?
A: satisfied .","Q: 年轻人看到小狗时感觉如何？
A: 满意。",1,no,no,"S20 indicates gratitude but does not mention the pup or the youth's feelings toward it, making the target answer unsupported.",,,,,,youth-who-was-to-serve-three-years-without-pay,298,feeling,local,implicit,"[S0] "" what have you in your basket ?
[S1] "" asked the man .
[S2] "" would you like to know ?
[S3] "" said the woman .
[S4] "" yes , "" said the man , "" for i have to buy the first thing that comes my way .
[S5] "" "" well , if you want to know , buy it !
[S6] "" said the old woman .
[S7] "" what does it cost ?
[S8] "" asked the man .
[S9] she must have four shillings for it , declared the woman .
[S10] this did not seem such a tremendous price to him , he would let it go at that , said he , and raised the cover .
[S11] and there lay a pup in the basket .
[S12] when the man got home from his journey to town , there stood the youth full of impatience and curiosity , wondering what his wage for the first year might be .
[S13] "" are you back already , master ?
[S14] "" asked the youth .
[S15] "" yes , indeed , "" said his master .
[S16] "" and what have you bought ?
[S17] "" asked the youth .
[S18] "" what i have bought is nothing so very rare , "" said the man .
[S19] "" i do n't even know whether i ought to show it to you ; but i bought the first thing to be had , and that was a pup , "" said he .
[S20] "" and i thank you most kindly for it , "" said the youth .
[S21] "" i have always been fond of dogs .
[S22] """,,Medium,[20],no,"S20 shows the youth's gratitude and fondness for the pup, justifying the 'satisfied' inference."
EV023,repair,Easy,Easy：答案可以直接在文本中找到，并且只需要一个必要证据句。,[8],"[S8] ' but all the same she did as she was bid , and in an instant the wounded arm touched something round and soft , lying between two stones in a clump of reeds .",[S8] 但不管怎样，她还是按照吩咐做了，瞬间，她受伤的手臂触碰到某样圆形柔软的东西，那东西正躺在芦苇丛中的两块石头之间。,"Q: what happened after the girl used her wounded arm ?
A: she found her baby .","Q: 女孩使用她受伤的手臂后发生了什么？
A: 她找到了她的婴儿。",1,no,no,parse_failed,,,,,,the-one-handed-girl,274,outcome resolution,local,implicit,"[S0] full of terror , she made her way back to the bank , and called to the snake , ' my baby is gone!--he is drowned , and never shall i see him again .
[S1] ' ' go in once more , ' said the snake , ' and feel everywhere , even among the trees that have their roots in the water , lest perhaps he may be held fast there .
[S2] ' swiftly she went back and felt everywhere with her whole hand , even putting her fingers into the tiniest crannies , where a crab could hardly have taken shelter .
[S3] ' no , he is not here , ' she cried .
[S4] ' how am i to live without him ?
[S5] ' but the snake took no notice , and only answered , ' put in your other arm too .
[S6] ' ' what is the use of that ?
[S7] ' she asked , ' when it has no hand to feel with ?
[S8] ' but all the same she did as she was bid , and in an instant the wounded arm touched something round and soft , lying between two stones in a clump of reeds .
[S9] ' my baby , my baby !
[S10] ' she shouted , and lifted him up , merry and laughing , and not a bit hurt or frightened .
[S11] ' have you found him this time ?
[S12] ' asked the snake .
[S13] ' yes , oh , yes !
[S14] ' she answered , ' and , why -- why -- i have got my hand back again !
[S15] ' and from sheer joy she burst into tears .",,Easy,[8],yes,"S8 directly states the girl's wounded arm touched her baby, confirming the outcome."
EV024,high,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,"[1, 2]","[S1] she opened her arms , and could neither ask questions nor reply to them , so moved and delighted was she .
[S2] but the prince ran hastily up the hill , embraced her tenderly , and thanked her for delivering him .","[S1] 她张开双臂，既无法提问也无法回答，因为她太感动和高兴了。
[S2] 但王子匆忙跑上山丘，温柔地拥抱了她，并感谢她解救了他。","Q: how did the princess feel about being reunited with the prince ?
A: excited .","Q: 公主与王子重逢时感觉如何？
A: 兴奋。",2,no,yes,"S1 indicates the princess was moved and delighted, which supports the inference that she felt excited about the reunion.",,,,,,werewolf,45,feeling,local,implicit,"[S0] it is easy to imagine how the princess felt .
[S1] she opened her arms , and could neither ask questions nor reply to them , so moved and delighted was she .
[S2] but the prince ran hastily up the hill , embraced her tenderly , and thanked her for delivering him .
[S3] nor did he forget the little old man , but thanked him with many civil expressions for his powerful aid .
[S4] then they sat down together on the hill - top , and had a pleasant talk .
[S5] the prince told how he had been turned into a wolf , and of all he had suffered while running about in the forest ; and the princess told of her grief , and the many tears she had shed while he had been gone .
[S6] so they sat the whole night through , and never noticed it until the stars grew pale and it was light enough to see .
[S7] when the sun rose , they saw that a broad path led from the hill - top straight to the royal castle ; for they had a view of the whole surrounding country from the hill - top .
[S8] then the old man said : "" lovely maiden , turn around !
[S9] do you see anything out yonder ?
[S10] "" "" yes , "" said the princess , "" i see a horseman on a foaming horse , riding as fast as he can .
[S11] "" then the old man said : "" he is a messenger sent on ahead by the king your father .
[S12] and your father with all his army is following him .
[S13] "" that pleased the princess above all things , and she wanted to descend the hill at once to meet her father .
[S14] but the old man detained her and said : "" wait a while , it is too early yet .
[S15] let us wait and see how everything turns out .
[S16] ""","S1: decision=keep, can_still_answer=no, reason=The remaining evidence does not indicate the princess's feelings about being reunited with the prince.
S2: decision=drop, can_still_answer=yes, reason=The remaining sentence implies the princess was delighted, which supports the inference that she felt excited about the reunion.",Hard,"[1, 2]",no,"S1 describes the princess's emotional state (moved and delighted), and S2 shows the prince's actions that likely contributed to her excitement."
EV025,high,Easy,Easy：答案可以直接在文本中找到，并且只需要一个必要证据句。,[0],"[S0] "" and as for the narrow road , all hampered and hindered by the thorns and the briars , there be few that be troubled to ask where that leadeth to .","[S0] ""至于那条狭窄的小路，布满荆棘和藤蔓，阻碍重重，很少有人会去问它通向哪里。","Q: why didn't folks ask where the narrow road led to ?
A: the road had thorns and briars .","Q: 为什么人们不去问那条狭窄小路通向哪里？
A: 那条路有荆棘和藤蔓。",1,yes,yes,"S0 directly states that the narrow road was hampered by thorns and briars, which explains why few were troubled to ask where it led.",,,,,,thomas-the-rhymer,145,causal relationship,local,implicit,"[S0] "" and as for the narrow road , all hampered and hindered by the thorns and the briars , there be few that be troubled to ask where that leadeth to .
[S1] but did they ask , perchance more of them might be stirred up to set out along it .
[S2] for that is the road of righteousness ; and , although it be hard and irksome , yet it endeth in a glorious city , which is called the city of the great king .
[S3] "" "" and the third road -- the bonnie road -- that runs up the brae among the ferns , and leadeth no mortal kens whither , but i ken where it leadeth , thomas -- for it leadeth unto fair elf - land ; and that road take we .
[S4] "" "" and , mark'ee , thomas , if ever thou hopest to see thine own tower of ercildoune again , take care of thy tongue when we reach our journey 's end , and speak no single word to anyone save me -- for the mortal who openeth his lips rashly in fairy - land must bide there for ever .
[S5] ""","S0: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[0],yes,"S0 explicitly states the narrow road is hampered by thorns and briars, directly explaining why few asked where it led."
EV026,repair,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,[4],"[S4] but the five - year old prince , who had not seen his father for the past two years , and who was delighted with the thunder of the cannon as the ships came in , secretly slipped away from his attendants , and ran to the landing .",[S4] 但那位五年的小王子，已经有两年没见到他的父亲了，他听到船只驶入时大炮的轰鸣声时非常高兴，偷偷地从随从身边溜走，跑到了码头。,"Q: how did the prince feel after he had not seen his father for the past two years ?
A: lonely .","Q: 在过去两年没有见到他的父亲后，王子感觉如何？
A: 孤单。",1,no,no,The context does not provide information about the prince's feelings; it only describes his actions.,,,,,,first-born-first-wed,106,feeling,local,implicit,"[S0] once upon a time there was a king who had a three - year old son , and was obliged to go to war against another king .
[S1] then , when his ships sailed home again after he had gained a splendid victory , a storm broke out and his whole fleet was near sinking .
[S2] but the king vowed he would sacrifice to the sea - queen the first male creature that came to meet him when he reached land and entered his capital .
[S3] thereby the whole fleet reached the harbor in safety .
[S4] but the five - year old prince , who had not seen his father for the past two years , and who was delighted with the thunder of the cannon as the ships came in , secretly slipped away from his attendants , and ran to the landing .
[S5] when the king came ashore he was the first to cast himself into his arms , weeping with joy .
[S6] the king was frightened when he thought of the sea - queen .
[S7] he thought that , after all , the prince was only a child , and at any rate he could sacrifice the next person to step up to him after the prince .",,Medium,[4],no,"S4 implies the prince's longing by stating he hadn't seen his father for two years and was delighted with the cannon's thunder, supporting the inference of loneliness."
EV027,repair,Hard,Hard：答案不能直接在文本中找到，需要综合多个必要证据句，并且至少进行一次推理。,"[19, 21]","[S19] "" alas , nothing better than i did yesterday , "" said the man , "" but i did as we agreed , and bought the first thing i came across , and that was this kitten .
[S21] "" "" i do not fare so badly this way , "" thought the man , "" but when he sets out for himself , then the matter will probably turn out differently .","[S19] ""唉，我今天做得并不比昨天好，""那人说，""但我按照我们的约定，买了我遇到的第一样东西，就是这只小猫。
[S21] """"这样看来我并不算太糟糕，""那人想，""但当他为自己办事时，情况可能会不同。""","Q: how did the man feel about the kitten ?
A: letdown .","Q: 那人对这只小猫感觉如何？
A: 失望。",2,no,no,The evidence sentences do not explicitly or implicitly indicate that the man felt a 'letdown' about the kitten; his feelings are not described in the provided context.,,,,,,youth-who-was-to-serve-three-years-without-pay,299,feeling,local,implicit,"[S0] the following morning it was no better .
[S1] the man set out as early as possible , and had not as yet reached town before he met the old woman with the basket .
[S2] "" good - day , granny , "" said the man .
[S3] "" and good - day to you , daddy , "" said the old woman .
[S4] "" what have you in your basket to - day ?
[S5] "" asked the man .
[S6] "" if you want to know , then buy it !
[S7] "" was again the answer .
[S8] "" what does it cost ?
[S9] "" asked the man .
[S10] she wanted four shillings for it , she had only the one price .
[S11] the man said he would buy it , for he thought that this time he would make a better purchase .
[S12] he raised the cover , and this time a kitten lay in the basket .
[S13] when he reached home , there stood the youth , waiting to see what he was to get in lieu of his second year 's wages .
[S14] "" are you back again , master !
[S15] "" said he .
[S16] "" yes , indeed , "" said the master .
[S17] "" what did you buy to - day ?
[S18] "" asked the youth .
[S19] "" alas , nothing better than i did yesterday , "" said the man , "" but i did as we agreed , and bought the first thing i came across , and that was this kitten .
[S20] "" "" you could not have hit on anything better , "" said the youth , "" for all my life long i have been fond of cats as well as of dogs .
[S21] "" "" i do not fare so badly this way , "" thought the man , "" but when he sets out for himself , then the matter will probably turn out differently .
[S22] """,,Hard,"[19, 21]",no,"S19 states the man bought the kitten, and S21 reveals his internal thought about the youth's potential worse choice, implying a letdown."
EV028,high,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,[3],[S3] she was much pleased and ran up at once to pick it ; but that very moment it disappeared and reappeared somewhat further away .,[S3] 她非常高兴，立刻跑上去去摘它；但就在那一刻，它消失了，然后在稍远的地方重新出现。,"Q: what will the king's daughter do when the lily reappears further away ?
A: chase after it .","Q: 当百合花再次出现在更远的地方时，国王的女儿会怎么做？
A: 追逐它。",1,no,yes,"S3 implies that the daughter will chase after the lily as she previously ran to pick it, and the lily moving further away suggests she will continue this behavior.",,,,,,werewolf,43,prediction,local,implicit,"[S0] so when the latter stepped out , she had to listen to all sorts of abuse from her step - sister , as was to be expected .
[S1] yet she paid no attention to her , and thought only of how she might find the flower of which the old woman had spoken .
[S2] they went through the forest , and suddenly she saw a beautiful white lily growing in their very path .
[S3] she was much pleased and ran up at once to pick it ; but that very moment it disappeared and reappeared somewhat further away .","S3: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Medium,[3],no,S3 shows the princess's prior action (running to pick the lily) and implies her likely response to the lily reappearing further away.
EV029,repair,Hard,Hard：答案不能直接在文本中找到，需要综合多个必要证据句，并且至少进行一次推理。,"[2, 3]","[S2] "" give her the slipper , and let her try it on , "" said the prince , and the eldest sister was forced to obey .
[S3] and what was the horror of the bystanders , as she drew it off , to see that she had cut off the tops of her toes in order to get it on .","[S2] ""把鞋子给她，让她试穿，""王子说，于是大姐不得不服从。
[S3] 旁观者看到她脱下鞋子时，惊讶地发现她为了穿上鞋子，把脚趾尖都剪掉了。","Q: how did everyone know that the elder sister clipped off the tops of her toes to get the shoe on ?
A: the prince ordered her to take off her shoe .","Q: 大家是怎么知道大姐剪掉了脚趾尖来穿上鞋子的？
A: 王子命令她脱下鞋子。",2,no,no,The evidence sentences do not mention the prince ordering her to take off her shoe. They only state that she cut off the tops of her toes and that the bystanders were horrified when she drew it off.,,,,,,nippit-fit-and-clippit-fit,76,action,local,implicit,"[S0] so the whole party turned back ; and when they reached the laird 's house the prince ordered a search to be made in the courtyard .
[S1] and the bonnie little sister was soon discovered and brought out , all blushes and confusion , from her hiding - place behind the caldron .
[S2] "" give her the slipper , and let her try it on , "" said the prince , and the eldest sister was forced to obey .
[S3] and what was the horror of the bystanders , as she drew it off , to see that she had cut off the tops of her toes in order to get it on .
[S4] but it fitted her little sister 's foot exactly , without either paring or clipping ; and when the prince saw that it was so , he lifted the elder sister down from his horse and lifted the little one up in her place , and carried her home to his palace , where the wedding was celebrated with great rejoicing ; and for the rest of their lives they were the happiest couple in the whole kingdom .",,Hard,"[2, 3]",no,"S2 establishes the shoe was tried on, and S3 reveals the horror when the shoe was removed, showing the cause (clipping toes) and effect (discovery)."
EV030,high,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,[1],"[S1] the girl could scarcely believe her good fortune , and , in gratitude for all the kindness shown her , was so useful and pleasant to her husband 's parents that they soon loved her .",[S1] 那个女孩几乎不敢相信自己的好运，为了感谢丈夫父母对她的所有善意，她对他们非常有用且讨人喜欢，以至于他们很快就爱上了她。,"Q: how did the girl feel after she was allowed to marry the prince ?
A: happy .","Q: 当她被允许与王子结婚后，女孩感觉如何？
A: 开心。",1,no,yes,"S1 does not explicitly state 'happy,' but the girl's gratitude and the positive description of her actions imply she felt happy after marrying the prince.",,,,,,the-one-handed-girl,258,feeling,local,implicit,"[S0] of course the king and queen would have preferred a daughter - in - law with two hands , and one who could have brought riches with her , but they could not bear to say ' no ' to their son , so they told him it should be as he chose , and that the wedding feast should be prepared immediately .
[S1] the girl could scarcely believe her good fortune , and , in gratitude for all the kindness shown her , was so useful and pleasant to her husband 's parents that they soon loved her .
[S2] by and bye a baby was born to her , and soon after that the prince was sent on a journey by his father to visit some of the distant towns of the kingdom , and to set right things that had gone wrong .
[S3] no sooner had he started than the girl 's brother , who had wasted all the riches his wife had brought him in recklessness and folly , and was now very poor , chanced to come into the town , and as he passed he heard a man say , ' do you know that the king 's son has married a woman who has lost one of her hands ?
[S4] ' on hearing these words the brother stopped and asked , ' where did he find such a woman ?
[S5] ' ' in the forest , ' answered the man , and the cruel brother guessed at once it must be his sister .","S1: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Medium,[1],no,"S1 states the girl 'could scarcely believe her good fortune,' which supports the inference that she felt happy. The answer is not directly stated but is a simple interpretation."
EV031,high,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,[7],"[S7] they themselves went back to the king 's castle , and it is easy to imagine what grief they caused when they told of the prince 's death .",[S7] 他们自己回到了国王的城堡，当他们告诉王子的死讯时，可以想象他们带来了多大的悲伤。,"Q: what happened after the serving-men went back to the king's castle ?
A: many people grieved .","Q: 仆人们回到国王的城堡后发生了什么？
A: 很多人感到悲伤。",1,no,yes,"S7 implies that the serving-men caused grief by telling of the prince's death, which supports the inference that many people grieved.",,,,,,princess-glass-mountain,55,outcome resolution,local,implicit,"[S0] now sorrow unheard of reigned among the people , and all pleaded for the little prince .
[S1] but the king 's word could not be recalled .
[S2] his serving - men did not dare disobey , took the boy in their midst , and set forth .
[S3] and when they had gone a long way into the forest , they saw a swine - herd tending his pigs .
[S4] then one said to another : "" it does not seem right to me to lay hand on the king 's son ; let us buy a pig instead and take its heart , then all will believe it is the heart of the prince .
[S5] "" the other serving - men thought that he spoke wisely , so they bought a pig from the swine - herd , led it into the wood , butchered it and took its heart .
[S6] then they told the prince to go his way and never return .
[S7] they themselves went back to the king 's castle , and it is easy to imagine what grief they caused when they told of the prince 's death .","S7: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[7],yes,S7 directly states the grief caused by the serving-men's return to the castle.
EV032,repair,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,[8],"[S8] and , of course , after all these lucky happenings , the youngest princess was anxious to try what her fortune might be ; so the very night , in high good humour , she tripped away down to the old witch 's cottage .",[S8] 当然，在经历了所有这些幸运的事情之后，最年轻的公主也急于想知道自己的命运会如何；于是当天夜里，心情愉快地，她蹦蹦跳跳地去了老巫婆的小屋。,"Q: why did the youngest princess want to find out her fortune ?
A: her sisters ' fortunes were good .","Q: 为什么最年轻的公主想知道自己命运如何？
A: 她姐姐们的好运。",1,no,no,"The context does not provide information about the sisters' fortunes, so the target answer is unsupported.",,,,,,the-black-bull-of-norroway,415,causal relationship,local,implicit,"[S0] and i 've heard tell that they drew her to the palace of a great and wealthy prince , who married her ; but that is outside my story .
[S1] a few weeks afterwards , the second princess thought that she would do as her sister had done , and go down to the hen - wife 's cottage , and tell her that she , too , was going out into the world to seek her fortune .
[S2] and , of course , in her heart of hearts she hoped that what had happened to her sister would happen to her also .
[S3] and , curious to say , it did .
[S4] for the old hen - wife sent her to look out at her back door , and she went , and , lo and behold !
[S5] another coach - and - six was coming along the road .
[S6] and when she went and told the old woman , she smiled upon her kindly , and told her to hurry home , for the coach - and - six was her fortune also , and that it had come for her .
[S7] so she , too , ran home , and got into her grand carriage , and was driven away .
[S8] and , of course , after all these lucky happenings , the youngest princess was anxious to try what her fortune might be ; so the very night , in high good humour , she tripped away down to the old witch 's cottage .",,Medium,[8],no,"S8 implies the youngest princess's motivation by referencing her sisters' 'lucky happenings,' which are established in prior sentences (S0-S7)."
EV033,repair,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,"[0, 1]","[S0] when they got to the edge of the lake what did they find but the beautifullest boat you ever saw in your life ; and says the eldest , ' i 'll take a sail in this fine boat ' ; and says the second eldest , ' i 'll take a sail in this fine boat ' ; and says the youngest , ' i wo n't take a sail in that fine boat , for i am afraid it 's an enchanted one .
[S1] ' but the others persuaded her to go in , and her father was just going in after her , when up sprung on the deck a little man only seven inches high , and ordered him to stand back .","[S0] 当他们来到湖边时，他们发现了一艘你一生中见过的最漂亮的船；长女说：'我要在这艘漂亮的船上划船'；次女说：'我要在这艘漂亮的船上划船'；小女儿说：'我不会在这艘漂亮的船上划船，因为我害怕它是一艘被施了魔法的船。'
[S1] '但其他人说服了她上船，她父亲正要跟在她后面上船时，甲板上突然出现了一个只有七英寸高的小人，命令他退回去。'","Q: who were in the boat after the little man pushed it away ?
A: the three daughters .","Q: 小人把船推开后，谁在船上？
A: 三个女儿。",2,no,no,"The evidence sentences do not explicitly mention who was in the boat after the little man pushed it away, making the target answer unsupported.",,,,,,the-three-crowns,471,character,local,implicit,"[S0] when they got to the edge of the lake what did they find but the beautifullest boat you ever saw in your life ; and says the eldest , ' i 'll take a sail in this fine boat ' ; and says the second eldest , ' i 'll take a sail in this fine boat ' ; and says the youngest , ' i wo n't take a sail in that fine boat , for i am afraid it 's an enchanted one .
[S1] ' but the others persuaded her to go in , and her father was just going in after her , when up sprung on the deck a little man only seven inches high , and ordered him to stand back .
[S2] well , all the men put their hands to their swords ; and if the same swords were only playthings , they were n't able to draw them , for all strength that was left their arms .
[S3] seven inches loosened the silver chain that fastened the boat , and pushed away , and after grinning at the four men , says he to them .
[S4] ' bid your daughters and your brides farewell for awhile .
[S5] you , ' says he to the youngest , ' need n't fear , you 'll recover your princess all in good time , and you and she will be as happy as the day is long .
[S6] bad people , if they were rolling stark naked in gold , would not be rich .
[S7] good - bye .
[S8] ' away they sailed , and the ladies stretched out their hands , but were n't able to say a word .",,Medium,"[0, 1]",yes,S0 and S1 establish that the three daughters were in the boat before it was pushed away.
EV034,high,Medium,Medium：答案不能直接在文本中找到，但只需要一个必要证据句并进行简单推理；或者答案可以直接找到，但需要综合多个必要证据句。,[18],"[S18] the prince was frightened , but he was afraid to say anything , and seven inches made him sit down to dinner between himself and his bride ; and he 'd be as happy as the day is long , only for the sight of the stone men in the corner .",[S18] 王子吓坏了，但他不敢说任何话，于是他在自己和新娘之间坐下来共进晚餐；如果不是角落里那些石像男人的出现，他会高兴得像白天一样长。,"Q: how did the youngest prince feel after he saw his bride again ?
A: happy .","Q: 最年轻的王子再次见到他的新娘后感觉如何？
A: 高兴。",1,no,yes,"S18 does not directly state 'happy,' but it implies the prince would be happy if not for the sight of the stone men, supporting the simple inference.",,,,,,the-three-crowns,479,feeling,summary,implicit,"[S0] guards were set till next morning , and then down went the second prince , and sure enough , the youngest of all got himself let down on the third day .
[S1] he went down perches and perches , while it was as dark about him as if he was in a big pot with a cover on .
[S2] at last he saw a glimmer far down , and in a short time he felt the ground .
[S3] out he came from the big lime - kiln , and , lo !
[S4] and behold you , there was a wood , and green fields , and a castle in a lawn , and a bright sky over all .
[S5] ' it 's in tir - na - n - oge i am , ' says he .
[S6] ' let 's see what sort of people are in the castle .
[S7] ' on he walked , across fields and lawn , and no one was there to keep him out or let him into the castle ; but the big hall - door was wide open .
[S8] he went from one fine room to another that was finer , and at last he reached the handsomest of all , with a table in the middle .
[S9] and such a dinner as was laid upon it !
[S10] the prince was hungry enough , but he was too mannerly to eat without being invited .
[S11] so he sat by the fire , and he did not wait long till he heard steps , and in came seven inches with the youngest sister by the hand .
[S12] well , prince and princess flew into one another 's arms , and says the little man , says he , ' why are n't you eating ?
[S13] ' ' i think , sir , ' says the prince , ' it was only good manner to wait to be asked .
[S14] ' ' the other princes did n't think so , ' says he .
[S15] ' each of them fell to without leave , and only gave me the rough words when i told them they were making more free than welcome .
[S16] well , i do n't think they feel much hunger now .
[S17] there they are , good marble instead of flesh and blood , ' says he , pointing to two statues , one in one corner , and the other in the other corner of the room .
[S18] the prince was frightened , but he was afraid to say anything , and seven inches made him sit down to dinner between himself and his bride ; and he 'd be as happy as the day is long , only for the sight of the stone men in the corner .
[S19] well , that day went by , and when the next came , says seven inches to him , ' now , you 'll have to set out that way , ' pointing to the sun , ' and you 'll find the second princess in a giant 's castle this evening , when you 'll be tired and hungry , and the eldest princess to - morrow evening ; and you may as well bring them here with you .
[S20] you need not ask leave of their masters ; and perhaps if they ever get home , they 'll look on poor people as if they were flesh and blood like themselves .
[S21] '","S18: decision=keep, can_still_answer=no, reason=no_evidence_remaining",Easy,[18],yes,S18 explicitly states the prince was 'as happy as the day is long' after reuniting with his bride.
EV035,repair,Hard,Hard：答案不能直接在文本中找到，需要综合多个必要证据句，并且至少进行一次推理。,"[7, 8]","[S7] oh , such shrieks as the ladies gave !
[S8] and such running and racing and peeping down as there was !","[S7] 女人们发出了多么可怕的尖叫啊！
[S8] 他们又是多么匆忙地奔跑、窥探啊！","Q: how did the two princesses feel after their princes fell down ?
A: sad .","Q: 两位公主的王子跌倒后，她们感觉如何？
A: 悲伤。",2,no,no,"The evidence sentences describe the ladies' shrieks, running, and peeping, but do not explicitly or implicitly indicate that the princesses felt 'sad' after their princes fell down.",,,,,,the-three-crowns,493,feeling,local,implicit,"[S0] they had n't been long at work when a tailor came in , and he sat down and began to talk .
[S1] you all heard how the two princess were loth to be married till the youngest would be ready with her crowns and her sweetheart .
[S2] but after the windlass loosened accidentally when they were pulling up her bridegroom that was to be , there was no more sign of a well , or a rope , or a windlass , than there is on the palm of your hand .
[S3] so the princes that were courting the eldest ladies would n't give peace or ease to their lovers nor the king till they got consent to the marriage , and it was to take place this morning .
[S4] myself went down out of curiousity , and to be sure i was delighted with the grand dresses of the two brides , and the three crowns on their heads -- gold , silver , and copper , one inside the other .
[S5] the youngest was standing by mournful enough , and all was ready .
[S6] the two bridegrooms came in as proud and grand as you please , and up they were walking to the altar rails , when the boards opened two yards wide under their feet , and down they went among the dead men and the coffins in the vaults .
[S7] oh , such shrieks as the ladies gave !
[S8] and such running and racing and peeping down as there was !
[S9] but the clerk soon opened the door of the vault , and up came the two princes , their fine clothes covered an inch thick with cobwebs and mould .",,Hard,"[7, 8]",no,"S7 and S8 describe the princesses' emotional reactions (shrieks, running, peeping) to the princes' fall, supporting the inference that they felt sad."
